probeid	name_show	type	pubchemid	cmpdsynonym	mw	mf	polararea	complexity	xlogp	heavycnt	hbonddonor	hbondacc	rotbonds	inchi	isosmiles	canonicalsmiles	inchikey	iupacname
LDPC0148	1c-yne	ABPP Probe	.	.	285.166	C10H9BrN2OS	29.91	283.961896	-1.5256	15	0	3	2	InChI=1S/C10H9N2OS.BrH/c1-3-6-12-7-4-5-8-9(12)11-10(13-8)14-2;/h1,4-5,7H,6H2,2H3;1H/q+1;/p-1	C#CC[n+]1cccc2oc(SC)nc21.[Br-]	C#CC[n+]1cccc2oc(SC)nc21.[Br-]	YHSHPBOQWYFMGB-UHFFFAOYSA-M	.
LDPC0149	ART-yne	ABPP Probe	72946284	CHEMBL3601161	322.4	C18H26O5	46.2	527	3.2	23	0	5	2	InChI=1S/C18H26O5/c1-5-10-19-15-12(3)14-7-6-11(2)13-8-9-17(4)21-16(20-15)18(13,14)23-22-17/h1,11-16H,6-10H2,2-4H3/t11-,12-,13+,14+,15+,16-,17-,18-/m1/s1	C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OCC#C)C	CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OCC#C)C	NVEPSTWUQUGTGZ-QOBNMGNYSA-N	(1R,4S,5R,8S,9R,10S,12R,13R)-1,5,9-trimethyl-10-prop-2-ynoxy-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecane
LDPC0150	W1	ABPP Probe	135628946	STL558673; AKOS037503692; (E)-N-hydroxy-1-[4-(prop-2-yn-1-yloxy)phenyl]methanimine	175.18	C10H9NO2	41.8	208	1.7	13	1	3	3	InChI=1S/C10H9NO2/c1-2-7-13-10-5-3-9(4-6-10)8-11-12/h1,3-6,8,12H,7H2/b11-8+	C#CCOC1=CC=C(C=C1)/C=N/O	C#CCOC1=CC=C(C=C1)C=NO	RKMOALAUYRKIRQ-DHZHZOJOSA-N	(NE)-N-[(4-prop-2-ynoxyphenyl)methylidene]hydroxylamine
LDPC0151	N1	ABPP Probe	.	.	341.157	C17H20BF4NO	12.24	341.1574075	3.66162	24	0	1	5	InChI=1S/C17H20NO.BF4/c1-5-12-19-15-10-8-14(9-11-15)16-13(4)17(16)18(6-2)7-3;2-1(3,4)5/h1,8-11H,6-7,12H2,2-4H3;/q+1;-1	C#CCOc1ccc(-c2c(C)c2=[N+](CC)CC)cc1.F[B-](F)(F)F	C#CCOc1ccc(-c2c(C)c2=[N+](CC)CC)cc1.F[B-](F)(F)F	PVTWWIFWSQVTJG-UHFFFAOYSA-N	.
LDPC0153	CY4	ABPP Probe	.	.	214.289	C13H10OS	9.23	214.0452359	3.27911	15	0	2	3	InChI=1S/C13H10OS/c1-3-8-14-11-6-4-10(5-7-11)12-9(2)13(12)15/h1,4-7H,8H2,2H3	C#CCOc1ccc(-c2c(C)c2=S)cc1	C#CCOc1ccc(-c2c(C)c2=S)cc1	HNRXTESRYNBUJY-UHFFFAOYSA-N	.
LDPC0156	8df	PAL-AfBPP Probe	.	.	765.79	C38H42F3N7O7	150.87	765.3097813	4.15022	55	1	12	19	InChI=1S/C38H42F3N7O7/c1-6-14-54-16-17-55-15-13-42-33(49)22-47(36(51)27-8-10-29(11-9-27)37(44-45-37)38(39,40)41)20-26-7-12-31-32(19-26)48(30(23-52-4)24-53-5)34(43-31)28-18-25(2)35(50)46(3)21-28/h1,7-12,18-19,21,30H,13-17,20,22-24H2,2-5H3,(H,42,49)	C#CCOCCOCCNC(=O)CN(Cc1ccc2nc(-c3cc(C)c(=O)n(C)c3)n(C(COC)COC)c2c1)C(=O)c1ccc(C2(C(F)(F)F)N=N2)cc1	C#CCOCCOCCNC(=O)CN(Cc1ccc2nc(-c3cc(C)c(=O)n(C)c3)n(C(COC)COC)c2c1)C(=O)c1ccc(C2(C(F)(F)F)N=N2)cc1	BBZLRTYAFTVBTO-UHFFFAOYSA-N	.
LDPC0157	8ef	PAL-AfBPP Probe	.	.	717.823	C41H43N5O7	133.99	717.3162487	4.18372	53	1	10	17	InChI=1S/C41H43N5O7/c1-6-19-53-20-18-42-37(47)25-45(41(50)32-15-13-31(14-16-32)38(48)30-10-8-7-9-11-30)23-29-12-17-35-36(22-29)46(34(26-51-4)27-52-5)39(43-35)33-21-28(2)40(49)44(3)24-33/h1,7-17,21-22,24,34H,18-20,23,25-27H2,2-5H3,(H,42,47)	C#CCOCCNC(=O)CN(Cc1ccc2nc(-c3cc(C)c(=O)n(C)c3)n(C(COC)COC)c2c1)C(=O)c1ccc(C(=O)c2ccccc2)cc1	C#CCOCCNC(=O)CN(Cc1ccc2nc(-c3cc(C)c(=O)n(C)c3)n(C(COC)COC)c2c1)C(=O)c1ccc(C(=O)c2ccccc2)cc1	PKDIPFKLNRPJDH-UHFFFAOYSA-N	.
LDPC0158	SAA-alkyne	ABPP Probe	.	.	531.517	C29H25NO9	176.78	531.1529314	3.0077	39	7	9	9	InChI=1S/C29H25NO9/c1-2-13-30-29(38)26(16-18-5-10-22(32)25(35)15-18)39-27(36)12-7-19-6-11-23(33)28(37)20(19)8-3-17-4-9-21(31)24(34)14-17/h1,3-12,14-15,26,31-35,37H,13,16H2,(H,30,38)/b8-3+,12-7+/t26-/m1/s1	C#CCNC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1	C#CCNC(=O)C(Cc1ccc(O)c(O)c1)OC(=O)C=Cc1ccc(O)c(O)c1C=Cc1ccc(O)c(O)c1	LOMXEEXEEYFRPD-MBTPIPGZSA-N	.
LDPC0159	CY-1	ABPP Probe	162640924	Cyclopropenone probe 1;CHEMBL5083204;BDBM50586715;HY-132913;CS-0254745	184.19	C12H8O2	26.3	311	1.7	14	0	2	3	InChI=1S/C12H8O2/c1-2-7-14-10-5-3-9(4-6-10)11-8-12(11)13/h1,3-6,8H,7H2	C#CCOC1=CC=C(C=C1)C2=CC2=O	C#CCOC1=CC=C(C=C1)C2=CC2=O	NPMUYJHJORYPSD-UHFFFAOYSA-N	2-(4-prop-2-ynoxyphenyl)cycloprop-2-en-1-one
LDPC0160	pLen	PAL-AfBPP Probe	.	.	393.403	C20H19N5O4	120.3	393.1437041	1.3517	29	2	6	6	InChI=1S/C20H19N5O4/c1-2-3-8-20(23-24-20)10-17(27)21-13-4-5-14-12(9-13)11-25(19(14)29)15-6-7-16(26)22-18(15)28/h1,4-5,9,15H,3,6-8,10-11H2,(H,21,27)(H,22,26,28)	C#CCCC1(CC(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)N=N1	C#CCCC1(CC(=O)Nc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)N=N1	CJCQTNAGHVZIEY-UHFFFAOYSA-N	.
LDPC0161	TH211	ABPP Probe	155213672	SCHEMBL22558820	601.7	C32H29F2N5O3S	106	1090	5	43	1	8	9	InChI=1S/C32H29F2N5O3S/c1-2-18-35-32(40)26-7-13-30(14-8-26)43(41,42)39-22-29(36-37-39)17-21-38-19-15-25(16-20-38)31(23-3-9-27(33)10-4-23)24-5-11-28(34)12-6-24/h1,3-14,22H,15-21H2,(H,35,40)	C#CCNC(=O)C1=CC=C(C=C1)S(=O)(=O)N2C=C(N=N2)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	C#CCNC(=O)C1=CC=C(C=C1)S(=O)(=O)N2C=C(N=N2)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	JYIFBRGQXMYSFX-UHFFFAOYSA-N	4-[4-[2-[4-[bis(4-fluorophenyl)methylidene]piperidin-1-yl]ethyl]triazol-1-yl]sulfonyl-N-prop-2-ynylbenzamide
LDPC0162	TH214	ABPP Probe	155213655	SCHEMBL22558799	574.6	C31H28F2N4O3S	85.7	999	5.7	41	0	8	9	InChI=1S/C31H28F2N4O3S/c1-2-21-40-29-11-13-30(14-12-29)41(38,39)37-22-28(34-35-37)17-20-36-18-15-25(16-19-36)31(23-3-7-26(32)8-4-23)24-5-9-27(33)10-6-24/h1,3-14,22H,15-21H2	C#CCOC1=CC=C(C=C1)S(=O)(=O)N2C=C(N=N2)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	C#CCOC1=CC=C(C=C1)S(=O)(=O)N2C=C(N=N2)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	RXZYFLNIZRCITN-UHFFFAOYSA-N	4-[bis(4-fluorophenyl)methylidene]-1-[2-[1-(4-prop-2-ynoxyphenyl)sulfonyltriazol-4-yl]ethyl]piperidine
LDPC0163	TH216	ABPP Probe	155213260	SCHEMBL22558320	544.6	C30H26F2N4O2S	76.5	964	5.8	39	0	7	8	InChI=1S/C30H26F2N4O2S/c1-2-22-3-13-29(14-4-22)39(37,38)36-21-28(33-34-36)17-20-35-18-15-25(16-19-35)30(23-5-9-26(31)10-6-23)24-7-11-27(32)12-8-24/h1,3-14,21H,15-20H2	C#CC1=CC=C(C=C1)S(=O)(=O)N2C=C(N=N2)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	C#CC1=CC=C(C=C1)S(=O)(=O)N2C=C(N=N2)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3	BMOGRVDHQYVFPP-UHFFFAOYSA-N	4-[bis(4-fluorophenyl)methylidene]-1-[2-[1-(4-ethynylphenyl)sulfonyltriazol-4-yl]ethyl]piperidine
LDPC0164	DAyne	ABPP Probe	146356063	SCHEMBL21708855	191.23	C11H13NO2	52.5	209	-0.4	14	3	3	4	InChI=1S/C11H13NO2/c1-2-6-12-7-5-9-3-4-10(13)11(14)8-9/h1,3-4,8,12-14H,5-7H2	C#CCNCCC1=CC(=C(C=C1)O)O	C#CCNCCC1=CC(=C(C=C1)O)O	OIMZHWRJAOKZIX-UHFFFAOYSA-N	4-[2-(prop-2-ynylamino)ethyl]benzene-1,2-diol
LDPC0166	HHS-475	ABPP Probe	139207992	SCHEMBL22558797; EN300-26572641; N-(prop-2-yn-1-yl)-4-(1H-1,2,4-triazole-1-sulfonyl)benzamide	290.3	C12H10N4O3S	102	497	0.6	20	1	5	4	InChI=1S/C12H10N4O3S/c1-2-7-14-12(17)10-3-5-11(6-4-10)20(18,19)16-9-13-8-15-16/h1,3-6,8-9H,7H2,(H,14,17)	C#CCNC(=O)C1=CC=C(C=C1)S(=O)(=O)N2C=NC=N2	C#CCNC(=O)C1=CC=C(C=C1)S(=O)(=O)N2C=NC=N2	ZBNCPAXYEUCPRL-UHFFFAOYSA-N	N-prop-2-ynyl-4-(1,2,4-triazol-1-ylsulfonyl)benzamide
LDPC0167	SAHA-CA-4PAP	ABPP Probe	.	.	1239.816	C56H87ClN10O19	365.43	1238.583748	6.4317	86	7	20	52	InChI=1S/C56H87ClN10O19/c57-21-7-3-4-8-27-76-33-37-80-38-34-77-32-25-62-56(74)86-44-42-82-40-36-79-31-24-61-55(73)84-29-10-9-28-83-54(72)60-23-30-78-35-39-81-41-43-85-53(71)59-22-26-67(45-46-13-17-49(18-14-46)64-66-58)52(70)47-15-19-48(20-16-47)63-50(68)11-5-1-2-6-12-51(69)65-75/h9-10,13-20,75H,1-8,11-12,21-45H2,(H,59,71)(H,60,72)(H,61,73)(H,62,74)(H,63,68)(H,65,69)/b10-9+	[N-]=[N+]=Nc1ccc(CN(CCNC(=O)OCCOCCOCCNC(=O)OC/C=C/COC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOCCCCCCCl)C(=O)c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)cc1	[N-]=[N+]=Nc1ccc(CN(CCNC(=O)OCCOCCOCCNC(=O)OCC=CCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOCCCCCCCl)C(=O)c2ccc(NC(=O)CCCCCCC(=O)NO)cc2)cc1	VQBDBGNYSJPKEX-MDZDMXLPSA-N	.
LDPC0168	ONAyne	ABPP Probe	122553555	SCHEMBL18092604	152.19	C9H12O2	34.1	173	0.2	11	0	2	6	InChI=1S/C9H12O2/c1-2-3-4-6-9(11)7-5-8-10/h1,8H,3-7H2	C#CCCCC(=O)CCC=O	C#CCCCC(=O)CCC=O	ZXVLUJLEQJDHPI-UHFFFAOYSA-N	4-oxonon-8-ynal
LDPC0169	Dasatinib-CA-4PAP	ABPP Probe	.	.	1433.482	C63H91Cl2N15O17S	373.28	1431.581513	7.66824	98	6	25	50	InChI=1S/C63H91Cl2N15O17S/c1-48-10-9-11-52(65)57(48)75-58(82)53-45-71-59(98-53)74-54-44-55(73-49(2)72-54)79-24-22-78(23-25-79)47-56(81)80(46-50-12-14-51(15-13-50)76-77-66)21-17-67-60(83)96-42-40-92-38-34-89-29-18-68-61(84)94-27-7-8-28-95-62(85)69-19-30-90-35-39-93-41-43-97-63(86)70-20-31-88-33-37-91-36-32-87-26-6-4-3-5-16-64/h7-15,44-45H,3-6,16-43,46-47H2,1-2H3,(H,67,83)(H,68,84)(H,69,85)(H,70,86)(H,75,82)(H,71,72,73,74)/b8-7+	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CC(=O)N(CCNC(=O)OCCOCCOCCNC(=O)OC/C=C/COC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOCCCCCCCl)Cc3ccc(N=[N+]=[N-])cc3)CC2)n1	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CC(=O)N(CCNC(=O)OCCOCCOCCNC(=O)OCC=CCOC(=O)NCCOCCOCCOC(=O)NCCOCCOCCOCCCCCCCl)Cc3ccc(N=[N+]=[N-])cc3)CC2)n1	PCRZHGRLZQYFNC-BQYQJAHWSA-N	.
LDPC0170	Propranolol-CA-4PAP	ABPP Probe	.	.	956.495	C45H62ClN9O12	273.11	955.4206461	5.8066	67	6	14	33	InChI=1S/C45H62ClN9O12/c46-19-5-1-2-6-26-62-29-22-50-45(61)66-31-24-52-44(60)64-28-8-7-27-63-43(59)51-23-30-65-42(58)49-21-25-55(33-35-14-16-37(17-15-35)53-54-47)41(57)18-20-48-32-38(56)34-67-40-13-9-11-36-10-3-4-12-39(36)40/h3-4,7-17,38,48,56H,1-2,5-6,18-34H2,(H,49,58)(H,50,61)(H,51,59)(H,52,60)/b8-7+/t38-/m0/s1	[N-]=[N+]=Nc1ccc(CN(CCNC(=O)OCCNC(=O)OC/C=C/COC(=O)NCCOC(=O)NCCOCCCCCCCl)C(=O)CCNC[C@H](O)COc2cccc3ccccc23)cc1	[N-]=[N+]=Nc1ccc(CN(CCNC(=O)OCCNC(=O)OCC=CCOC(=O)NCCOC(=O)NCCOCCCCCCCl)C(=O)CCNCC(O)COc2cccc3ccccc23)cc1	JCHOROBXGLASEM-COVLVDCSSA-N	.
LDPC0174	IMP2070	PAL-AfBPP Probe	.	.	519.627	C27H29N5O4S	120.3	519.1940254	3.8219	37	2	6	8	InChI=1S/C27H29N5O4S/c1-3-15-32(16-14-27(2)30-31-27)25(33)18-10-12-21(13-11-18)37(35,36)29-26(34)28-24-22-8-4-6-19(22)17-20-7-5-9-23(20)24/h1,10-13,17H,4-9,14-16H2,2H3,(H2,28,29,34)	C#CCN(CCC1(C)N=N1)C(=O)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1	C#CCN(CCC1(C)N=N1)C(=O)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)cc1	ORBFGOZFVGXLTP-UHFFFAOYSA-N	.
LDPC0175	7-N3	ABPP Probe	167133724	SCHEMBL24564493	433.6	C25H40FN3O2	51.7	740	7	31	1	5	6	InChI=1S/C25H40FN3O2/c1-15(4-5-18(30)14-26)19-6-7-20-23-21(9-11-25(19,20)3)24(2)10-8-17(28-29-27)12-16(24)13-22(23)31/h15-17,19-23,31H,4-14H2,1-3H3/t15-,16+,17?,19-,20+,21+,22-,23+,24+,25-/m1/s1	C[C@H](CCC(=O)CF)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CCC(C4)N=[N+]=[N-])C)O)C	CC(CCC(=O)CF)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)N=[N+]=[N-])C)O)C	QCWQIZXWZUVWAM-GOIGBCGRSA-N	(5R)-5-[(5S,7R,8R,9S,10S,13R,14S,17R)-3-azido-7-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]-1-fluorohexan-2-one
LDPC0177	Cep-alkyne	ABPP Probe	.	.	516.639	C27H40N4O6	156.86	516.294785	0.3647	37	6	6	11	InChI=1S/C27H40N4O6/c1-4-5-6-7-8-9-10-11-12-13-24(35)31-25(20(3)32)27(37)30-22-18-21(33)16-17-28-23(34)15-14-19(2)29-26(22)36/h1,10-15,19-22,25,32-33H,5-9,16-18H2,2-3H3,(H,28,34)(H,29,36)(H,30,37)(H,31,35)/b11-10+,13-12+,15-14-/t19-,20+,21-,22-,25-/m0/s1	C#CCCCCC/C=C/C=C/C(=O)N[C@H](C(=O)N[C@H]1C[C@@H](O)CCNC(=O)/C=C\[C@H](C)NC1=O)[C@@H](C)O	C#CCCCCCC=CC=CC(=O)NC(C(=O)NC1CC(O)CCNC(=O)C=CC(C)NC1=O)C(C)O	WYIPRIZMTCTBJK-QQXADAIISA-N	.
LDPC0178	HHS-482	ABPP Probe	139207988	SCHEMBL22558761	396.4	C19H16N4O4S	112	683	2.3	28	1	6	6	InChI=1S/C19H16N4O4S/c1-3-12-20-19(24)15-6-10-17(11-7-15)28(25,26)23-13-21-18(22-23)14-4-8-16(27-2)9-5-14/h1,4-11,13H,12H2,2H3,(H,20,24)	COC1=CC=C(C=C1)C2=NN(C=N2)S(=O)(=O)C3=CC=C(C=C3)C(=O)NCC#C	COC1=CC=C(C=C1)C2=NN(C=N2)S(=O)(=O)C3=CC=C(C=C3)C(=O)NCC#C	KXBHYOHYITZMOM-UHFFFAOYSA-N	4-[[3-(4-methoxyphenyl)-1,2,4-triazol-1-yl]sulfonyl]-N-prop-2-ynylbenzamide
LDPC0179	EN219-alkyne	ABPP Probe	170902951	EN219-alkyne	488.8	C22H19BrClN3O3	71	691	3.4	30	1	4	7	InChI=1S/C22H19BrClN3O3/c1-2-11-25-21(28)14-30-18-9-5-16(6-10-18)20-12-19(26-27(20)22(29)13-24)15-3-7-17(23)8-4-15/h1,3-10,20H,11-14H2,(H,25,28)	C#CCNC(=O)COC1=CC=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=C(C=C3)Br	C#CCNC(=O)COC1=CC=C(C=C1)C2CC(=NN2C(=O)CCl)C3=CC=C(C=C3)Br	FGJLZQWWDKBXBM-UHFFFAOYSA-N	2-[4-[5-(4-bromophenyl)-2-(2-chloroacetyl)-3,4-dihydropyrazol-3-yl]phenoxy]-N-prop-2-ynylacetamide
LDPC0180	Alkyne-RA190	ABPP Probe	.	.	654.421	C34H28Cl4N2O3	66.48	652.0854035	7.7095	43	1	3	9	InChI=1S/C34H28Cl4N2O3/c1-2-3-5-10-32(41)39-31(19-22-8-6-4-7-9-22)34(43)40-20-25(15-23-11-13-27(35)29(37)17-23)33(42)26(21-40)16-24-12-14-28(36)30(38)18-24/h1,4,6-9,11-18,31H,3,5,10,19-21H2,(H,39,41)/b25-15+,26-16+/t31-/m0/s1	C#CCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1C/C(=C\c2ccc(Cl)c(Cl)c2)C(=O)/C(=C/c2ccc(Cl)c(Cl)c2)C1	C#CCCCC(=O)NC(Cc1ccccc1)C(=O)N1CC(=Cc2ccc(Cl)c(Cl)c2)C(=O)C(=Cc2ccc(Cl)c(Cl)c2)C1	SRMMHHJSKZOTEX-DFLDXFFVSA-N	.
LDPC0181	KY-26	ABPP Probe	155213652	SCHEMBL22558795	677.7	C33H31N11O4S	192	1310	3.4	49	3	11	10	InChI=1S/C33H31N11O4S/c1-2-14-34-31(45)27-20-28(37-29-19-26(39-40-29)22-8-9-22)38-33(36-27)43-17-15-42(16-18-43)32(46)24-10-12-25(13-11-24)49(47,48)44-21-35-30(41-44)23-6-4-3-5-7-23/h1,3-7,10-13,19-22H,8-9,14-18H2,(H,34,45)(H2,36,37,38,39,40)	C#CCNC(=O)C1=CC(=NC(=N1)N2CCN(CC2)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4C=NC(=N4)C5=CC=CC=C5)NC6=NNC(=C6)C7CC7	C#CCNC(=O)C1=CC(=NC(=N1)N2CCN(CC2)C(=O)C3=CC=C(C=C3)S(=O)(=O)N4C=NC(=N4)C5=CC=CC=C5)NC6=NNC(=C6)C7CC7	VYYXQZBQKHVHET-UHFFFAOYSA-N	6-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]-2-[4-[4-[(3-phenyl-1,2,4-triazol-1-yl)sulfonyl]benzoyl]piperazin-1-yl]-N-prop-2-ynylpyrimidine-4-carboxamide
LDPC0182	8d	ABPP Probe	162667946	CHEMBL4803621	679.8	C35H43N4O8S+	155	1080	3.2	48	3	9	16	InChI=1S/C35H42N4O8S/c1-42-34-25-19-39-10-8-23-17-29-30(47-21-46-29)18-24(23)27(39)16-22(25)6-7-28(34)45-15-14-44-13-12-43-11-9-36-32(40)5-3-2-4-31-33-26(20-48-31)37-35(41)38-33/h6-7,16-19,26,31,33H,2-5,8-15,20-21H2,1H3,(H2-,36,37,38,40,41)/p+1/t26-,31-,33-/m0/s1	COC1=C(C=CC2=CC3=[N+](CCC4=CC5=C(C=C43)OCO5)C=C21)OCCOCCOCCNC(=O)CCCC[C@H]6[C@@H]7[C@H](CS6)NC(=O)N7	COC1=C(C=CC2=CC3=[N+](CCC4=CC5=C(C=C43)OCO5)C=C21)OCCOCCOCCNC(=O)CCCCC6C7C(CS6)NC(=O)N7	ZQBQWJXMLWBMIJ-CTVJOPNHSA-O	5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]-N-[2-[2-[2-[(16-methoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaen-17-yl)oxy]ethoxy]ethoxy]ethyl]pentanamide
LDPC0183	IBr-1b	ABPP Probe	.	.	521.625	C30H31N7O2	111.19	521.2539232	4.2004	39	2	8	9	InChI=1S/C30H31N7O2/c1-3-4-16-32-30(38)21(2)18-36-17-8-9-23(19-36)37-29-26(28(31)33-20-34-29)27(35-37)22-12-14-25(15-13-22)39-24-10-6-5-7-11-24/h1,5-7,10-15,20,23H,2,4,8-9,16-19H2,(H,32,38)(H2,31,33,34)/t23-/m1/s1	C#CCCNC(=O)C(=C)CN1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	C#CCCNC(=O)C(=C)CN1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	WISBBVCQCPSREJ-HSZRJFAPSA-N	.
LDPC0184	Photoprobe 2	ABPP Probe	.	.	595.739	C31H33NO7S2	107.05	595.1698444	4.3048	41	0	7	11	InChI=1S/C31H33NO7S2/c1-5-18-38-26-14-10-23(11-15-26)31(33)24-12-16-27(17-13-24)39-21-25-19-32(20-28(25)22(2)3)41(36,37)30-9-7-6-8-29(30)40(4,34)35/h1,6-17,22,25,28H,18-21H2,2-4H3/t25-,28-/m1/s1	C#CCOc1ccc(C(=O)c2ccc(OC[C@H]3CN(S(=O)(=O)c4ccccc4S(C)(=O)=O)C[C@@H]3C(C)C)cc2)cc1	C#CCOc1ccc(C(=O)c2ccc(OCC3CN(S(=O)(=O)c4ccccc4S(C)(=O)=O)CC3C(C)C)cc2)cc1	OVLWLEVSNNWQJS-LEAFIULHSA-N	.
LDPC0187	D3	ABPP Probe	.	.	256.389	C18H24O	9.23	256.1827154	5.2806	19	0	1	9	InChI=1S/C18H24O/c1-4-6-8-9-10-11-13-14-17-16(3)19-18(17)15-12-7-5-2/h2,4,14-15H,1,3,6-13H2/b17-14+,18-15-	C#CCC/C=C1\OC(=C)\C1=C/CCCCCCC=C	C#CCCC=C1OC(=C)C1=CCCCCCCC=C	PSZBGUYOOGFMNJ-YEUVTLMZSA-N	.
LDPC0188	11RK72	ABPP Probe	.	.	641.784	C27H35N11O4S2	190.27	641.2314906	0.40298	44	4	12	11	InChI=1S/C27H35N11O4S2/c28-15-36-7-5-16(10-36)25(41)33-27-31-18-6-8-37(12-21(18)44-27)23(40)13-38-11-17(34-35-38)9-29-22(39)4-2-1-3-20-24-19(14-43-20)30-26(42)32-24/h11,16,19-20,24H,1-10,12-14H2,(H,29,39)(H2,30,32,42)(H,31,33,41)/t16-,19+,20+,24+/m0/s1	[H][C@@]12CS[C@H](CCCCC(=O)NCc3cn(CC(=O)N4CCc5nc(NC(=O)[C@H]6CCN(C#N)C6)sc5C4)nn3)[C@]1([H])NC(=O)N2	[H]C12CSC(CCCCC(=O)NCc3cn(CC(=O)N4CCc5nc(NC(=O)C6CCN(C#N)C6)sc5C4)nn3)C1([H])NC(=O)N2	XJSQIHOHLGVPGJ-FROCWPDGSA-N	.
LDPC0189	11RK73	ABPP Probe	.	.	817.996	C35H51N11O8S2	227.19	817.3363496	0.46938	56	4	16	23	InChI=1S/C35H51N11O8S2/c36-23-44-8-5-24(17-44)33(49)41-35-39-26-6-9-45(19-29(26)56-35)31(48)20-46-18-25(42-43-46)21-54-16-15-53-14-13-52-12-11-51-10-7-37-30(47)4-2-1-3-28-32-27(22-55-28)38-34(50)40-32/h18,24,27-28,32H,1-17,19-22H2,(H,37,47)(H2,38,40,50)(H,39,41,49)/t24-,27+,28+,32+/m0/s1	[H][C@@]12CS[C@H](CCCCC(=O)NCCOCCOCCOCCOCc3cn(CC(=O)N4CCc5nc(NC(=O)[C@H]6CCN(C#N)C6)sc5C4)nn3)[C@]1([H])NC(=O)N2	[H]C12CSC(CCCCC(=O)NCCOCCOCCOCCOCc3cn(CC(=O)N4CCc5nc(NC(=O)C6CCN(C#N)C6)sc5C4)nn3)C1([H])NC(=O)N2	OZMRLFGFDFLQTD-BCZYHNNCSA-N	.
LDPC0190	DA-P2	ABPP Probe	.	.	247.294	C14H17NO3	69.56	247.1208434	1.56	18	3	3	6	InChI=1S/C14H17NO3/c1-2-3-4-5-14(18)15-9-8-11-6-7-12(16)13(17)10-11/h1,6-7,10,16-17H,3-5,8-9H2,(H,15,18)	C#CCCCC(=O)NCCc1ccc(O)c(O)c1	C#CCCCC(=O)NCCc1ccc(O)c(O)c1	HUGNXIRRXRSXCS-UHFFFAOYSA-N	.
LDPC0192	1d-yne	ABPP Probe	.	.	382.361	C13H11F3NO5S2+	69.62	382.0025255	1.8702	24	0	6	6	InChI=1S/C13H11F3NO5S2/c1-3-6-20-8-9-4-5-10-11(7-9)21-12(23-2)17(10)22-24(18,19)13(14,15)16/h1,4-5,7H,6,8H2,2H3/q+1	C#CCOCc1ccc2c(c1)oc(SC)[n+]2OS(=O)(=O)C(F)(F)F	C#CCOCc1ccc2c(c1)oc(SC)[n+]2OS(=O)(=O)C(F)(F)F	SJZDDQONKDXPIV-UHFFFAOYSA-N	.
